ID,Class Label
517.bmp,10
518.bmp,11
519.bmp,12
520.bmp,13
521.bmp,14
522.bmp,15
523.bmp,16
524.bmp,17
525.bmp,19
526.bmp,20
527.bmp,2
528.bmp,3
529.bmp,4
530.bmp,5
531.bmp,6
532.bmp,9
533.bmp,10
534.bmp,11
535.bmp,12
536.bmp,13
537.bmp,14
538.bmp,15
539.bmp,16
540.bmp,17
541.bmp,19
542.bmp,20
543.bmp,2
544.bmp,3
545.bmp,4
546.bmp,5
547.bmp,6
548.bmp,9
549.bmp,10
550.bmp,11
551.bmp,12
552.bmp,13
553.bmp,14
554.bmp,15
555.bmp,16
556.bmp,17
557.bmp,19
558.bmp,20
559.bmp,2
560.bmp,3
561.bmp,4
562.bmp,5
563.bmp,6
564.bmp,9
565.bmp,10
566.bmp,11
567.bmp,12
568.bmp,13
569.bmp,14
570.bmp,15
571.bmp,16
572.bmp,17
573.bmp,19
574.bmp,20
575.bmp,3
576.bmp,4
577.bmp,5
578.bmp,6
579.bmp,9
580.bmp,10
581.bmp,11
582.bmp,12
583.bmp,13
584.bmp,14
585.bmp,15
586.bmp,16
587.bmp,17
588.bmp,19
589.bmp,20
590.bmp,3
591.bmp,4
592.bmp,5
593.bmp,6
594.bmp,9
595.bmp,10
596.bmp,11
597.bmp,12
598.bmp,13
599.bmp,14
600.bmp,15
601.bmp,16
602.bmp,17
603.bmp,19
604.bmp,20
605.bmp,3
606.bmp,4
607.bmp,5
608.bmp,6
609.bmp,9
610.bmp,10
611.bmp,11
612.bmp,12
613.bmp,13
614.bmp,14
615.bmp,15
616.bmp,16
617.bmp,17
618.bmp,19
619.bmp,20
620.bmp,3
621.bmp,4
622.bmp,5
623.bmp,6
624.bmp,9
625.bmp,10
626.bmp,11
627.bmp,12
628.bmp,13
629.bmp,14
630.bmp,15
631.bmp,16
632.bmp,17
633.bmp,19
634.bmp,20
635.bmp,3
636.bmp,4
637.bmp,5
638.bmp,6
639.bmp,9
640.bmp,10
641.bmp,11
642.bmp,12
643.bmp,13
644.bmp,14
645.bmp,15
646.bmp,16
647.bmp,17
648.bmp,19
649.bmp,20
650.bmp,3
651.bmp,4
652.bmp,5
653.bmp,6
654.bmp,9
655.bmp,10
656.bmp,11
657.bmp,12
658.bmp,13
659.bmp,14
660.bmp,15
661.bmp,16
662.bmp,17
663.bmp,19
664.bmp,20
665.bmp,3
666.bmp,4
667.bmp,5
668.bmp,6
669.bmp,9
670.bmp,10
671.bmp,11
672.bmp,12
673.bmp,13
674.bmp,14
675.bmp,15
676.bmp,16
677.bmp,17
678.bmp,19
679.bmp,20
680.bmp,3
681.bmp,4
682.bmp,5
683.bmp,6
684.bmp,9
685.bmp,10
686.bmp,11
687.bmp,12
688.bmp,13
689.bmp,14
690.bmp,15
691.bmp,16
692.bmp,17
693.bmp,18
694.bmp,19
695.bmp,20
696.bmp,3
697.bmp,4
698.bmp,5
699.bmp,6
700.bmp,9
701.bmp,10
702.bmp,11
703.bmp,12
704.bmp,13
705.bmp,14
706.bmp,15
707.bmp,16
708.bmp,17
709.bmp,18
710.bmp,19
711.bmp,20
712.bmp,3
713.bmp,4
714.bmp,5
715.bmp,6
716.bmp,9
717.bmp,10
718.bmp,11
719.bmp,12
720.bmp,13
721.bmp,14
722.bmp,15
723.bmp,16
724.bmp,17
725.bmp,18
726.bmp,19
727.bmp,20
728.bmp,3
729.bmp,4
730.bmp,5
731.bmp,6
732.bmp,9
733.bmp,10
734.bmp,11
735.bmp,12
736.bmp,13
737.bmp,14
738.bmp,15
739.bmp,16
740.bmp,17
741.bmp,18
742.bmp,19
743.bmp,20
744.bmp,3
745.bmp,4
746.bmp,5
747.bmp,6
748.bmp,9
749.bmp,10
750.bmp,11
751.bmp,12
752.bmp,13
753.bmp,14
754.bmp,15
755.bmp,16
756.bmp,17
757.bmp,18
758.bmp,19
759.bmp,20
760.bmp,3
761.bmp,4
762.bmp,5
763.bmp,6
764.bmp,9
765.bmp,10
766.bmp,11
767.bmp,12
768.bmp,13
769.bmp,14
770.bmp,15
771.bmp,16
772.bmp,17
773.bmp,18
774.bmp,19
775.bmp,20
776.bmp,3
777.bmp,4
778.bmp,5
779.bmp,6
780.bmp,9
781.bmp,10
782.bmp,11
783.bmp,12
784.bmp,13
785.bmp,14
786.bmp,15
787.bmp,16
788.bmp,17
789.bmp,18
790.bmp,19
791.bmp,20
792.bmp,3
793.bmp,4
794.bmp,5
795.bmp,6
796.bmp,9
797.bmp,10
798.bmp,11
799.bmp,12
800.bmp,13
801.bmp,14
802.bmp,15
803.bmp,16
804.bmp,17
805.bmp,18
806.bmp,19
807.bmp,20
808.bmp,3
809.bmp,4
810.bmp,5
811.bmp,6
812.bmp,9
813.bmp,10
814.bmp,11
815.bmp,12
816.bmp,13
817.bmp,14
818.bmp,15
819.bmp,16
820.bmp,17
821.bmp,18
822.bmp,19
823.bmp,20
824.bmp,3
825.bmp,4
826.bmp,5
827.bmp,6
828.bmp,9
829.bmp,10
830.bmp,11
831.bmp,12
832.bmp,13
833.bmp,14
834.bmp,15
835.bmp,16
836.bmp,17
837.bmp,18
838.bmp,19
839.bmp,20
840.bmp,3
841.bmp,4
842.bmp,5
843.bmp,6
844.bmp,9
845.bmp,10
846.bmp,11
847.bmp,12
848.bmp,13
849.bmp,14
850.bmp,15
851.bmp,16
852.bmp,17
853.bmp,18
854.bmp,19
855.bmp,20
856.bmp,3
857.bmp,4
858.bmp,5
859.bmp,6
860.bmp,9
861.bmp,10
862.bmp,11
863.bmp,12
864.bmp,13
865.bmp,14
866.bmp,15
867.bmp,16
868.bmp,17
869.bmp,18
870.bmp,19
871.bmp,20
872.bmp,3
873.bmp,4
874.bmp,5
875.bmp,6
876.bmp,9
877.bmp,10
878.bmp,11
879.bmp,12
880.bmp,13
881.bmp,14
882.bmp,15
883.bmp,16
884.bmp,17
885.bmp,18
886.bmp,19
887.bmp,20
888.bmp,3
889.bmp,4
890.bmp,5
891.bmp,6
892.bmp,9
893.bmp,10
894.bmp,11
895.bmp,12
896.bmp,13
897.bmp,14
898.bmp,15
899.bmp,16
900.bmp,17
901.bmp,18
902.bmp,19
903.bmp,20
904.bmp,3
905.bmp,4
906.bmp,5
907.bmp,6
908.bmp,9
909.bmp,10
910.bmp,11
911.bmp,12
912.bmp,13
913.bmp,14
914.bmp,15
915.bmp,16
916.bmp,17
917.bmp,18
918.bmp,19
919.bmp,20
920.bmp,3
921.bmp,4
922.bmp,5
923.bmp,6
924.bmp,9
925.bmp,10
926.bmp,11
927.bmp,12
928.bmp,13
929.bmp,14
930.bmp,15
931.bmp,16
932.bmp,17
933.bmp,18
934.bmp,19
935.bmp,20
936.bmp,3
937.bmp,4
938.bmp,5
939.bmp,6
940.bmp,9
941.bmp,10
942.bmp,11
943.bmp,12
944.bmp,13
945.bmp,14
946.bmp,15
947.bmp,16
948.bmp,17
949.bmp,18
950.bmp,19
951.bmp,20
952.bmp,3
953.bmp,4
954.bmp,5
955.bmp,6
956.bmp,9
957.bmp,10
958.bmp,11
959.bmp,12
960.bmp,13
961.bmp,14
962.bmp,15
963.bmp,16
964.bmp,17
965.bmp,18
966.bmp,19
967.bmp,20
968.bmp,3
969.bmp,4
970.bmp,5
971.bmp,6
972.bmp,9
973.bmp,10
974.bmp,11
975.bmp,12
976.bmp,13
977.bmp,14
978.bmp,15
979.bmp,16
980.bmp,17
981.bmp,18
982.bmp,19
983.bmp,20
984.bmp,3
985.bmp,4
986.bmp,5
987.bmp,6
988.bmp,9
989.bmp,10
990.bmp,11
991.bmp,12
992.bmp,13
993.bmp,14
994.bmp,15
995.bmp,16
996.bmp,17
997.bmp,18
998.bmp,19
999.bmp,20
1000.bmp,3
1001.bmp,4
1002.bmp,5
1003.bmp,6
1004.bmp,9
1005.bmp,10
1006.bmp,11
1007.bmp,12
1008.bmp,13
1009.bmp,14
1010.bmp,15
1011.bmp,16
1012.bmp,17
1013.bmp,18
1014.bmp,19
1015.bmp,20
1016.bmp,3
1017.bmp,4
1018.bmp,5
1019.bmp,6
1020.bmp,9
1021.bmp,10
1022.bmp,11
1023.bmp,12
1024.bmp,13
1025.bmp,14
1026.bmp,15
1027.bmp,16
1028.bmp,17
1029.bmp,18
1030.bmp,19
1031.bmp,20
1032.bmp,3
1033.bmp,4
1034.bmp,5
1035.bmp,6
1036.bmp,9
1037.bmp,10
1038.bmp,11
1039.bmp,12
1040.bmp,13
1041.bmp,14
1042.bmp,15
1043.bmp,16
1044.bmp,17
1045.bmp,18
1046.bmp,19
1047.bmp,20
1048.bmp,3
1049.bmp,4
1050.bmp,5
1051.bmp,6
1052.bmp,9
1053.bmp,10
1054.bmp,11
1055.bmp,12
1056.bmp,13
1057.bmp,14
1058.bmp,15
1059.bmp,16
1060.bmp,17
1061.bmp,18
1062.bmp,19
1063.bmp,20
1064.bmp,3
1065.bmp,4
1066.bmp,5
1067.bmp,6
1068.bmp,9
1069.bmp,10
1070.bmp,11
1071.bmp,12
1072.bmp,13
1073.bmp,14
1074.bmp,15
1075.bmp,16
1076.bmp,17
1077.bmp,18
1078.bmp,19
1079.bmp,20
1080.bmp,3
1081.bmp,4
1082.bmp,5
1083.bmp,6
1084.bmp,9
1085.bmp,10
1086.bmp,11
1087.bmp,12
1088.bmp,13
1089.bmp,14
1090.bmp,15
1091.bmp,16
1092.bmp,17
1093.bmp,18
1094.bmp,19
1095.bmp,20
1096.bmp,3
1097.bmp,4
1098.bmp,5
1099.bmp,6
1100.bmp,9
1101.bmp,10
1102.bmp,11
1103.bmp,12
1104.bmp,13
1105.bmp,14
1106.bmp,15
1107.bmp,16
1108.bmp,17
1109.bmp,18
1110.bmp,19
1111.bmp,20
1112.bmp,3
1113.bmp,4
1114.bmp,5
1115.bmp,6
1116.bmp,9
1117.bmp,10
1118.bmp,11
1119.bmp,12
1120.bmp,13
1121.bmp,14
1122.bmp,15
1123.bmp,16
1124.bmp,17
1125.bmp,18
1126.bmp,19
1127.bmp,20
1128.bmp,3
1129.bmp,4
1130.bmp,5
1131.bmp,6
1132.bmp,9
1133.bmp,10
1134.bmp,11
1135.bmp,12
1136.bmp,13
1137.bmp,14
1138.bmp,15
1139.bmp,16
1140.bmp,17
1141.bmp,18
1142.bmp,19
1143.bmp,20
1144.bmp,3
1145.bmp,4
1146.bmp,5
1147.bmp,6
1148.bmp,9
1149.bmp,10
1150.bmp,11
1151.bmp,12
1152.bmp,13
1153.bmp,14
1154.bmp,15
1155.bmp,16
1156.bmp,17
1157.bmp,18
1158.bmp,19
1159.bmp,20
1160.bmp,3
1161.bmp,4
1162.bmp,5
1163.bmp,6
1164.bmp,9
1165.bmp,10
1166.bmp,11
1167.bmp,12
1168.bmp,13
1169.bmp,14
1170.bmp,15
1171.bmp,16
1172.bmp,17
1173.bmp,18
1174.bmp,19
1175.bmp,20
1176.bmp,3
1177.bmp,4
1178.bmp,5
1179.bmp,6
1180.bmp,9
1181.bmp,10
1182.bmp,11
1183.bmp,12
1184.bmp,13
1185.bmp,14
1186.bmp,15
1187.bmp,16
1188.bmp,17
1189.bmp,18
1190.bmp,19
1191.bmp,20
1192.bmp,3
1193.bmp,4
1194.bmp,5
1195.bmp,6
1196.bmp,9
1197.bmp,10
1198.bmp,11
1199.bmp,12
1200.bmp,13
1201.bmp,14
1202.bmp,15
1203.bmp,16
1204.bmp,17
1205.bmp,18
1206.bmp,19
1207.bmp,20
1208.bmp,3
1209.bmp,4
1210.bmp,5
1211.bmp,6
1212.bmp,9
1213.bmp,10
1214.bmp,11
1215.bmp,12
1216.bmp,13
1217.bmp,14
1218.bmp,15
1219.bmp,16
1220.bmp,17
1221.bmp,18
1222.bmp,19
1223.bmp,20
1224.bmp,3
1225.bmp,4
1226.bmp,5
1227.bmp,6
1228.bmp,9
1229.bmp,10
1230.bmp,11
1231.bmp,12
1232.bmp,13
1233.bmp,14
1234.bmp,15
1235.bmp,16
1236.bmp,17
1237.bmp,18
1238.bmp,19
1239.bmp,20
1240.bmp,0
1241.bmp,81
1242.bmp,82
1243.bmp,83
1244.bmp,84
1245.bmp,85
1246.bmp,86
1247.bmp,87
1248.bmp,88
1249.bmp,89
1250.bmp,90
1251.bmp,91
1252.bmp,92
1253.bmp,93
1254.bmp,94
1255.bmp,95
1256.bmp,96
1257.bmp,97
1258.bmp,98
1259.bmp,99
1260.bmp,100
1261.bmp,101
1262.bmp,102
1263.bmp,103
1264.bmp,104
1265.bmp,105
1266.bmp,106
1267.bmp,107
1268.bmp,108
1269.bmp,109
1270.bmp,110
1271.bmp,111
1272.bmp,112
1273.bmp,113
1274.bmp,114
1275.bmp,115
1276.bmp,116
1277.bmp,117
1278.bmp,118
1279.bmp,119
1280.bmp,120
1281.bmp,121
1282.bmp,122
1283.bmp,123
1284.bmp,124
1285.bmp,125
1286.bmp,126
1287.bmp,127
1288.bmp,128
1289.bmp,129
1290.bmp,130
1291.bmp,131
1292.bmp,132
1293.bmp,133
1294.bmp,134
1295.bmp,135
1296.bmp,136
1297.bmp,137
1298.bmp,138
1299.bmp,139
1300.bmp,140
1301.bmp,141
1302.bmp,142
1303.bmp,143
1304.bmp,144
1305.bmp,145
1306.bmp,146
1307.bmp,147
1308.bmp,148
1309.bmp,149
1310.bmp,150
1311.bmp,151
1312.bmp,152
1313.bmp,153
1314.bmp,154
1315.bmp,155
1316.bmp,3
1317.bmp,4
1318.bmp,5
1319.bmp,6
1320.bmp,9
1321.bmp,10
1322.bmp,11
1323.bmp,12
1324.bmp,13
1325.bmp,14
1326.bmp,15
1327.bmp,16
1328.bmp,17
1329.bmp,18
1330.bmp,19
1331.bmp,20
1332.bmp,0
1333.bmp,81
1334.bmp,82
1335.bmp,83
1336.bmp,84
1337.bmp,85
1338.bmp,86
1339.bmp,87
1340.bmp,88
1341.bmp,89
1342.bmp,90
1343.bmp,91
1344.bmp,92
1345.bmp,93
1346.bmp,94
1347.bmp,95
1348.bmp,96
1349.bmp,97
1350.bmp,98
1351.bmp,99
1352.bmp,100
1353.bmp,101
1354.bmp,102
1355.bmp,103
1356.bmp,104
1357.bmp,105
1358.bmp,106
1359.bmp,107
1360.bmp,108
1361.bmp,109
1362.bmp,110
1363.bmp,111
1364.bmp,112
1365.bmp,113
1366.bmp,114
1367.bmp,115
1368.bmp,116
1369.bmp,117
1370.bmp,118
1371.bmp,119
1372.bmp,120
1373.bmp,121
1374.bmp,122
1375.bmp,123
1376.bmp,124
1377.bmp,125
1378.bmp,126
1379.bmp,127
1380.bmp,128
1381.bmp,129
1382.bmp,130
1383.bmp,131
1384.bmp,132
1385.bmp,133
1386.bmp,134
1387.bmp,135
1388.bmp,136
1389.bmp,137
1390.bmp,138
1391.bmp,139
1392.bmp,140
1393.bmp,141
1394.bmp,142
1395.bmp,143
1396.bmp,144
1397.bmp,145
1398.bmp,146
1399.bmp,147
1400.bmp,148
1401.bmp,149
1402.bmp,150
1403.bmp,151
1404.bmp,152
1405.bmp,153
1406.bmp,154
1407.bmp,155
1408.bmp,3
1409.bmp,4
1410.bmp,5
1411.bmp,6
1412.bmp,9
1413.bmp,10
1414.bmp,11
1415.bmp,12
1416.bmp,13
1417.bmp,14
1418.bmp,15
1419.bmp,16
1420.bmp,17
1421.bmp,18
1422.bmp,19
1423.bmp,20
1424.bmp,0
1425.bmp,81
1426.bmp,82
1427.bmp,83
1428.bmp,84
1429.bmp,85
1430.bmp,86
1431.bmp,87
1432.bmp,88
1433.bmp,89
1434.bmp,90
1435.bmp,91
1436.bmp,92
1437.bmp,93
1438.bmp,94
1439.bmp,95
1440.bmp,96
1441.bmp,97
1442.bmp,98
1443.bmp,99
1444.bmp,100
1445.bmp,101
1446.bmp,102
1447.bmp,103
1448.bmp,104
1449.bmp,105
1450.bmp,106
1451.bmp,107
1452.bmp,108
1453.bmp,109
1454.bmp,110
1455.bmp,111
1456.bmp,112
1457.bmp,113
1458.bmp,114
1459.bmp,115
1460.bmp,116
1461.bmp,117
1462.bmp,118
1463.bmp,119
1464.bmp,120
1465.bmp,121
1466.bmp,122
1467.bmp,123
1468.bmp,124
1469.bmp,125
1470.bmp,126
1471.bmp,127
1472.bmp,128
1473.bmp,129
1474.bmp,130
1475.bmp,131
1476.bmp,132
1477.bmp,133
1478.bmp,134
1479.bmp,135
1480.bmp,136
1481.bmp,137
1482.bmp,138
1483.bmp,139
1484.bmp,140
1485.bmp,141
1486.bmp,142
1487.bmp,143
1488.bmp,144
1489.bmp,145
1490.bmp,146
1491.bmp,147
1492.bmp,148
1493.bmp,149
1494.bmp,150
1495.bmp,151
1496.bmp,152
1497.bmp,153
1498.bmp,154
1499.bmp,155
1500.bmp,3
1501.bmp,4
1502.bmp,5
1503.bmp,6
1504.bmp,8
1505.bmp,9
1506.bmp,10
1507.bmp,11
1508.bmp,12
1509.bmp,13
1510.bmp,14
1511.bmp,15
1512.bmp,16
1513.bmp,17
1514.bmp,18
1515.bmp,19
1516.bmp,20
1517.bmp,21
1518.bmp,22
1519.bmp,23
1520.bmp,24
1521.bmp,25
1522.bmp,26
1523.bmp,27
1524.bmp,28
1525.bmp,29
1526.bmp,30
1527.bmp,31
1528.bmp,32
1529.bmp,33
1530.bmp,34
1531.bmp,35
1532.bmp,36
1533.bmp,37
1534.bmp,38
1535.bmp,39
1536.bmp,40
1537.bmp,41
1538.bmp,42
1539.bmp,43
1540.bmp,44
1541.bmp,45
1542.bmp,46
1543.bmp,47
1544.bmp,48
1545.bmp,49
1546.bmp,50
1547.bmp,51
1548.bmp,52
1549.bmp,53
1550.bmp,54
1551.bmp,55
1552.bmp,56
1553.bmp,57
1554.bmp,58
1555.bmp,59
1556.bmp,60
1557.bmp,61
1558.bmp,62
1559.bmp,63
1560.bmp,64
1561.bmp,65
1562.bmp,66
1563.bmp,67
1564.bmp,68
1565.bmp,69
1566.bmp,70
1567.bmp,71
1568.bmp,72
1569.bmp,73
1570.bmp,74
1571.bmp,75
1572.bmp,76
1573.bmp,77
1574.bmp,78
1575.bmp,79
1576.bmp,0
1577.bmp,81
1578.bmp,82
1579.bmp,83
1580.bmp,84
1581.bmp,85
1582.bmp,86
1583.bmp,87
1584.bmp,88
1585.bmp,89
1586.bmp,90
1587.bmp,91
1588.bmp,92
1589.bmp,93
1590.bmp,94
1591.bmp,95
1592.bmp,96
1593.bmp,97
1594.bmp,98
1595.bmp,99
1596.bmp,100
1597.bmp,101
1598.bmp,102
1599.bmp,103
1600.bmp,104
1601.bmp,105
1602.bmp,106
1603.bmp,107
1604.bmp,108
1605.bmp,109
1606.bmp,110
1607.bmp,111
1608.bmp,112
1609.bmp,113
1610.bmp,114
1611.bmp,115
1612.bmp,116
1613.bmp,117
1614.bmp,118
1615.bmp,119
1616.bmp,120
1617.bmp,121
1618.bmp,122
1619.bmp,123
1620.bmp,124
1621.bmp,125
1622.bmp,126
1623.bmp,127
1624.bmp,128
1625.bmp,129
1626.bmp,130
1627.bmp,131
1628.bmp,132
1629.bmp,133
1630.bmp,134
1631.bmp,135
1632.bmp,136
1633.bmp,137
1634.bmp,138
1635.bmp,139
1636.bmp,140
1637.bmp,141
1638.bmp,142
1639.bmp,143
1640.bmp,144
1641.bmp,145
1642.bmp,146
1643.bmp,147
1644.bmp,148
1645.bmp,149
1646.bmp,150
1647.bmp,151
1648.bmp,152
1649.bmp,153
1650.bmp,154
1651.bmp,155
1652.bmp,1
1653.bmp,8
1654.bmp,13
1655.bmp,18
1656.bmp,21
1657.bmp,22
1658.bmp,23
1659.bmp,24
1660.bmp,25
1661.bmp,26
1662.bmp,27
1663.bmp,28
1664.bmp,29
